log10PER,P_Pa,T_degC,Elevation,X_Easting,Y_Northing
-16.0,1568720,22.027,550,-2250.0,1341.0
-16.0,1223798,22.141,550,-1850.0,1341.0
-16.0,1156502,22.094,550,-1450.0,1341.0
-15.0,1769062,21.814,550,-1050.0,1341.0
-15.0,1708350,21.881,550,-650.0,1341.0
-15.0,1810786,21.906,550,-350.0,1341.0
-15.0,1820444,21.965,550,-200.0,1341.0
-15.0,1816053,22.013,550,-100.0,1341.0
-15.0,1799814,22.076,550,-0.0,1341.0
-15.0,1784026,22.128,550,100.0,1341.0
-15.0,1764862,22.179,550,200.0,1341.0
-15.0,1737898,22.234,550,300.0,1341.0
-15.0,1676170,22.35,550,450.0,1341.0
-15.0,1631495,22.434,550,650.0,1341.0
-15.0,1547334,22.498,550,950.0,1341.0
-15.0,1571135,23.07,550,1350.0,1341.0
-15.0,1624780,24.51,550,1750.0,1341.0
-15.0,1670189,27.602,550,2150.0,1341.0
-16.0,1220305,22.351,550,-2250.0,841.0
-16.0,1098297,22.432,550,-1850.0,841.0
-16.0,842513,22.618,550,-1450.0,841.0
-15.0,1062503,22.589,550,-1050.0,841.0
-15.0,1171147,23.146,550,-650.0,841.0
-15.0,1187094,23.826,550,-350.0,841.0
-15.0,1190653,24.266,550,-200.0,841.0
-15.0,1193135,24.591,550,-100.0,841.0
-15.0,1197286,24.8,550,0.0,841.0
-15.0,1195091,24.951,550,100.0,841.0
-15.0,1186322,25.075,550,200.0,841.0
-15.0,1168161,25.172,550,300.0,841.0
-15.0,1117210,25.341,550,450.0,841.0
-15.0,1078730,25.279,550,650.0,841.0
-15.0,976057,24.858,550,950.0,841.0
-15.0,1132003,23.923,550,1350.0,841.0
-15.0,1101798,25.279,550,1750.0,841.0
-15.0,1085811,28.09,550,2150.0,841.0
-16.0,1145635,23.278,550,-2250.0,491.0
-16.0,1067286,23.496,550,-1850.0,491.0
-16.0,787855,23.972,550,-1450.0,491.0
-16.0,856251,25.574,550,-1050.0,491.0
-16.0,982905,32.029,550,-650.0,491.0
-16.0,921218,36.348,550,-350.0,491.0
-16.0,915503,39.507,550,-200.0,491.0
-16.0,912648,43.595,550,-100.0,491.0
-16.0,911612,44.331,550,0.0,491.0
-16.0,911496,43.695,550,100.0,491.0
-16.0,908935,43.996,550,200.0,491.0
-16.0,903923,43.763,550,300.0,491.0
-16.0,882519,41.763,550,450.0,491.0
-16.0,870103,39.114,550,650.0,491.0
-13.0,780931,34.64,550,950.0,491.0
-13.0,809345,27.459,550,1350.0,491.0
-13.0,840066,26.247,550,1750.0,491.0
-13.0,875638,27.627,550,2150.0,491.0
-16.0,1266680,24.126,550,-2250.0,291.0
-16.0,953127,24.693,550,-1850.0,291.0
-16.0,796567,25.094,550,-1450.0,291.0
-16.0,759522,29.846,550,-1050.0,291.0
-16.0,898806,49.665,550,-650.0,291.0
-13.0,778450,59.709,550,-350.0,291.0
-13.0,775554,62.959,550,-200.0,291.0
-13.0,774115,65.05,550,-100.0,291.0
-13.0,774088,67.878,550,-0.0,291.0
-13.0,779345,64.869,550,100.0,291.0
-13.0,774428,92.229,550,200.0,291.0
-13.0,764570,112.581,550,300.0,291.0
-13.0,734708,99.518,550,450.0,291.0
-13.0,729766,79.084,550,650.0,291.0
-13.0,771454,70.135,550,950.0,291.0
-13.0,811518,30.008,550,1350.0,291.0
-13.0,845992,25.097,550,1750.0,291.0
-16.0,1100452,25.413,550,2150.0,291.0
-16.0,1234288,25.105,550,-2250.0,141.0
-16.0,886389,25.903,550,-1850.0,141.0
-13.0,751945,25.033,550,-1450.0,141.0
-13.0,739268,32.941,550,-1050.0,141.0
-13.0,831515,41.222,550,-650.0,141.0
-13.0,773764,69.563,550,-350.0,141.0
-13.0,766464,81.605,550,-200.0,141.0
-13.0,762021,85.232,550,-100.0,141.0
-13.0,754849,87.069,550,0.0,141.0
-13.0,743843,86.145,550,100.0,141.0
-13.0,718005,139.887,550,200.0,141.0
-13.0,706615,158.551,550,300.0,141.0
-13.0,706693,165.34,550,450.0,141.0
-13.0,696247,160.08,550,650.0,141.0
-13.0,774271,145.288,550,950.0,141.0
-13.0,809968,31.285,550,1350.0,141.0
-16.0,965769,25.481,550,1750.0,141.0
-16.0,1149138,24.515,550,2150.0,141.0
-16.0,1188952,25.911,550,-2250.0,41.0
-16.0,837200,26.734,550,-1850.0,41.0
-13.0,749471,25.558,550,-1450.0,41.0
-13.0,734521,32.196,550,-1050.0,41.0
-13.0,843825,27.677,550,-650.0,41.0
-13.0,764643,75.188,550,-350.0,41.0
-13.0,759112,94.624,550,-200.0,41.0
-13.0,755682,100.732,550,-100.0,41.0
-13.0,749332,106.03,550,0.0,41.0
-13.0,739887,111.343,550,100.0,41.0
-13.0,723973,120.486,550,200.0,41.0
-13.0,704095,163.321,550,300.0,41.0
-13.0,706970,165.356,550,450.0,41.0
-13.0,704880,165.236,550,650.0,41.0
-13.0,774576,150.096,550,950.0,41.0
-13.0,809534,31.088,550,1350.0,41.0
-16.0,1016033,25.215,550,1750.0,41.0
-16.0,1165247,23.999,550,2150.0,41.0
-16.0,870060,27.481,550,-2250.0,-109.0
-13.0,723768,27.649,550,-1850.0,-109.0
-13.0,742345,27.544,550,-1450.0,-109.0
-13.0,720631,48.313,550,-1050.0,-109.0
-13.0,735830,166.979,550,-650.0,-109.0
-13.0,740090,109.666,550,-350.0,-109.0
-13.0,745170,117.777,550,-200.0,-109.0
-13.0,747244,120.832,550,-100.0,-109.0
-13.0,748100,122.142,550,-0.0,-109.0
-13.0,745120,120.835,550,100.0,-109.0
-13.0,739328,119.33,550,200.0,-109.0
-13.0,732869,118.405,550,300.0,-109.0
-13.0,727153,113.701,550,450.0,-109.0
-13.0,730137,90.726,550,650.0,-109.0
-13.0,772214,69.946,550,950.0,-109.0
-16.0,884741,29.763,550,1350.0,-109.0
-16.0,1051633,24.518,550,1750.0,-109.0
-16.0,1184123,23.308,550,2150.0,-109.0
-13.0,707392,28.613,550,-2250.0,-309.0
-13.0,710842,29.864,550,-1850.0,-309.0
-13.0,740796,28.029,550,-1450.0,-309.0
-13.0,710197,36.416,550,-1050.0,-309.0
-13.0,616874,140.455,550,-650.0,-309.0
-13.0,717143,121.092,550,-350.0,-309.0
-13.0,736979,119.583,550,-200.0,-309.0
-13.0,745083,115.958,550,-100.0,-309.0
-13.0,750389,109.581,550,0.0,-309.0
-13.0,751959,105.805,550,100.0,-309.0
-13.0,750957,102.614,550,200.0,-309.0
-13.0,748552,99.305,550,300.0,-309.0
-13.0,744255,95.094,550,450.0,-309.0
