log10PER,P_Pa,T_degC,Elevation,X_Easting,Y_Northing
-11.69897000433602,1716937.0,189.509,450.0,100.0,141.0
-11.69897000433602,3066079.0,195.626,300.0,100.0,141.0
-11.69897000433602,4841463.0,200.024,100.0,100.0,141.0
-11.69897000433602,6597212.0,201.378,-100.0,100.0,141.0
-11.69897000433602,8343104.0,199.523,-300.0,100.0,141.0
-11.69897000433602,10093535.0,207.704,-500.0,100.0,141.0
-11.69897000433602,11838285.0,202.651,-700.0,100.0,141.0
-15.0,13124979.0,309.188,-850.0,100.0,141.0
-15.0,14045528.0,326.855,-950.0,100.0,141.0
-15.0,14922488.0,334.462,-1050.0,100.0,141.0
-15.0,16179655.0,340.032,-1200.0,100.0,141.0
-15.522878745280336,17879904.0,351.973,-1400.0,100.0,141.0
-13.30102999566398,19125405.0,357.852,-1550.0,100.0,141.0
-13.30102999566398,19907422.0,359.854,-1650.0,100.0,141.0
-13.30102999566398,20677367.0,360.833,-1750.0,100.0,141.0
-11.69897000433602,1732872.0,160.171,450.0,0.0,-509.0
-11.69897000433602,3068596.0,153.787,300.0,0.0,-509.0
-11.69897000433602,4837655.0,157.295,100.0,0.0,-509.0
-11.69897000433602,6590360.0,167.338,-100.0,0.0,-509.0
-11.69897000433602,8336995.0,160.429,-300.0,0.0,-509.0
-10.69897000433602,10099471.0,144.234,-500.0,0.0,-509.0
-13.30102999566398,11897054.0,106.689,-700.0,0.0,-509.0
-13.30102999566398,13264215.0,134.925,-850.0,0.0,-509.0
-13.30102999566398,14155522.0,155.222,-950.0,0.0,-509.0
-13.30102999566398,15032012.0,173.254,-1050.0,0.0,-509.0
-15.0,16293040.0,209.383,-1200.0,0.0,-509.0
-15.30102999566398,17931740.0,248.182,-1400.0,0.0,-509.0
-15.30102999566398,19169090.0,270.556,-1550.0,0.0,-509.0
-15.30102999566398,19966147.0,283.772,-1650.0,0.0,-509.0
-15.30102999566398,20731725.0,296.981,-1750.0,0.0,-509.0
-15.0,2150984.0,33.386,450.0,2150.0,141.0
-15.0,3573516.0,46.812,300.0,2150.0,141.0
-15.0,5398826.0,65.094,100.0,2150.0,141.0
