log10PER,P_Pa,T_degC,Elevation,X_Easting,Y_Northing
-13.30102999566398,1745485.0,40.516,450.0,0.0,-859.0
-13.30102999566398,3112643.0,54.623,300.0,0.0,-859.0
-13.30102999566398,4885621.0,67.447,100.0,0.0,-859.0
-13.30102999566398,6631941.0,79.414,-100.0,0.0,-859.0
-13.30102999566398,8349655.0,91.455,-300.0,0.0,-859.0
-13.522878745280336,10173540.0,95.925,-500.0,0.0,-859.0
-13.30102999566398,11954492.0,94.277,-700.0,0.0,-859.0
-13.30102999566398,13273891.0,116.926,-850.0,0.0,-859.0
-13.30102999566398,14161533.0,135.784,-950.0,0.0,-859.0
-13.30102999566398,15043777.0,154.767,-1050.0,0.0,-859.0
-15.0,16374789.0,184.565,-1200.0,0.0,-859.0
-15.30102999566398,18086589.0,217.523,-1400.0,0.0,-859.0
-15.30102999566398,19327486.0,241.331,-1550.0,0.0,-859.0
-15.30102999566398,20131004.0,257.485,-1650.0,0.0,-859.0
-15.30102999566398,20912707.0,274.292,-1750.0,0.0,-859.0
-17.0,21702675.0,292.29,-1850.0,0.0,-859.0
-11.69897000433602,1676462.0,48.203,450.0,-2250.0,-309.0
-11.69897000433602,3087609.0,79.547,300.0,-2250.0,-309.0
-13.30102999566398,4949683.0,116.614,100.0,-2250.0,-309.0
-13.30102999566398,6760481.0,147.494,-100.0,-2250.0,-309.0
-13.30102999566398,8536929.0,168.246,-300.0,-2250.0,-309.0
-13.522878745280336,10286633.0,185.069,-500.0,-2250.0,-309.0
-13.522878745280336,12044417.0,201.873,-700.0,-2250.0,-309.0
-16.0,13369898.0,220.973,-850.0,-2250.0,-309.0
-16.0,14290059.0,232.603,-950.0,-2250.0,-309.0
-16.0,15188646.0,243.413,-1050.0,-2250.0,-309.0
-16.0,16498652.0,257.856,-1200.0,-2250.0,-309.0
-16.0,18173649.0,275.776,-1400.0,-2250.0,-309.0
-16.0,19376138.0,289.342,-1550.0,-2250.0,-309.0
-16.0,20153046.0,298.314,-1650.0,-2250.0,-309.0
-16.0,20907427.0,307.358,-1750.0,-2250.0,-309.0
-16.0,21637986.0,316.651,-1850.0,-2250.0,-309.0
-11.69897000433602,1713058.0,167.639,450.0,200.0,291.0
-11.69897000433602,3066420.0,186.396,300.0,200.0,291.0
-11.69897000433602,4843282.0,197.188,100.0,200.0,291.0
-11.69897000433602,6599816.0,202.113,-100.0,200.0,291.0
-11.69897000433602,8345189.0,185.242,-300.0,200.0,291.0
-11.69897000433602,10095511.0,198.272,-500.0,200.0,291.0
-11.69897000433602,11836981.0,200.1,-700.0,200.0,291.0
-15.522878745280336,13132049.0,272.321,-850.0,200.0,291.0
-15.522878745280336,14041771.0,297.659,-950.0,200.0,291.0
-15.522878745280336,14928470.0,313.314,-1050.0,200.0,291.0
-15.522878745280336,16224275.0,326.836,-1200.0,200.0,291.0
-15.522878745280336,17942212.0,343.358,-1400.0,200.0,291.0
-15.522878745280336,19170993.0,355.104,-1550.0,200.0,291.0
-15.30102999566398,19961659.0,360.173,-1650.0,200.0,291.0
-15.30102999566398,20741353.0,364.408,-1750.0,200.0,291.0
-15.30102999566398,21539921.0,367.665,-1850.0,200.0,291.0
-12.30102999566398,1730265.0,146.242,450.0,200.0,-509.0
-11.69897000433602,3068334.0,141.769,300.0,200.0,-509.0
-11.69897000433602,4837388.0,143.491,100.0,200.0,-509.0
-12.30102999566398,6589323.0,148.502,-100.0,200.0,-509.0
-11.69897000433602,8337344.0,142.586,-300.0,200.0,-509.0
-12.30102999566398,10103173.0,134.599,-500.0,200.0,-509.0
-13.30102999566398,11902168.0,103.26,-700.0,200.0,-509.0
-13.30102999566398,13263930.0,132.135,-850.0,200.0,-509.0
-13.30102999566398,14154828.0,153.407,-950.0,200.0,-509.0
-13.30102999566398,15032028.0,172.794,-1050.0,200.0,-509.0
-15.30102999566398,16296794.0,211.58,-1200.0,200.0,-509.0
-15.30102999566398,17954320.0,246.746,-1400.0,200.0,-509.0
-15.30102999566398,19200470.0,268.538,-1550.0,200.0,-509.0
-15.30102999566398,20004351.0,282.283,-1650.0,200.0,-509.0
-15.30102999566398,20785058.0,296.135,-1750.0,200.0,-509.0
-15.30102999566398,21543643.0,310.28,-1850.0,200.0,-509.0
-15.0,2318105.0,27.269,450.0,650.0,1341.0
-15.0,3582727.0,35.06,300.0,650.0,1341.0
-15.0,5254405.0,46.44,100.0,650.0,1341.0
-15.0,6962282.0,59.442,-100.0,650.0,1341.0
-15.0,8704395.0,73.97,-300.0,650.0,1341.0
-15.0,10474499.0,90.384,-500.0,650.0,1341.0
-15.0,12252339.0,108.948,-700.0,650.0,1341.0
-15.522878745280336,13580396.0,124.965,-850.0,650.0,1341.0
-15.522878745280336,14447400.0,136.07,-950.0,650.0,1341.0
-15.522878745280336,15309565.0,146.866,-1050.0,650.0,1341.0
-15.522878745280336,16589305.0,162.535,-1200.0,650.0,1341.0
-15.522878745280336,18265744.0,180.901,-1400.0,650.0,1341.0
-15.522878745280336,19500219.0,193.852,-1550.0,650.0,1341.0
-15.522878745280336,20312475.0,203.037,-1650.0,650.0,1341.0
-15.522878745280336,21114437.0,212.307,-1750.0,650.0,1341.0
-15.522878745280336,21905727.0,221.875,-1850.0,650.0,1341.0
-15.0,2109568.0,35.919,450.0,2150.0,291.0
-15.0,3559908.0,51.649,300.0,2150.0,291.0
-15.0,5408303.0,72.858,100.0,2150.0,291.0
-15.0,7209338.0,94.388,-100.0,2150.0,291.0
-15.0,8983112.0,115.836,-300.0,2150.0,291.0
-15.0,10738097.0,136.894,-500.0,2150.0,291.0
-15.0,12478559.0,157.119,-700.0,2150.0,291.0
-15.522878745280336,13775901.0,172.478,-850.0,2150.0,291.0
